date,cash_in,cash_out,channel,transaction_count,balance,day_of_week,month,quarter,lag1_in,lag7_in,lag1_out,lag7_out,roll_mean_7_in,roll_mean_7_out,roll_mean_30_in,roll_mean_30_out,cash_in_next_day,cash_out_next_day,cash_in_h7_sum,cash_out_h7_sum,cash_in_next_month_sum,cash_out_next_month_sum
2024-01-23,2.5E7,1.45E7,DEFAULT,1,1.05E7,2,1,1,2.25E7,2.85E7,1.32E7,1.65E7,2.2385714285714287E7,1.3085714285714285E7,2.152173913043478E7,1.246086956521739E7,2.8E7,1.6E7,2.285E8,1.367E8,8.715E8,5.212E8
2024-01-24,2.8E7,1.6E7,DEFAULT,1,1.2E7,3,1,1,2.5E7,2.5E7,1.45E7,1.42E7,2.2814285714285713E7,1.3342857142857144E7,2.1791666666666668E7,1.2608333333333334E7,4.2E7,2.5E7,2.385E8,1.437E8,8.795E8,5.267E8
2024-01-25,4.2E7,2.5E7,DEFAULT,1,1.7E7,4,1,1,2.8E7,2.7E7,1.6E7,1.55E7,2.495714285714286E7,1.47E7,2.26E7,1.3104E7,4.8E7,2.85E7,2.25E8,1.352E8,8.58E8,5.142E8
2024-01-26,4.8E7,2.85E7,DEFAULT,1,1.95E7,5,1,1,4.2E7,2.95E7,2.5E7,1.72E7,2.76E7,1.6314285714285715E7,2.3576923076923076E7,1.3696153846153846E7,2.5E7,1.52E7,2.09E8,1.252E8,8.24E8,4.945E8
2024-01-27,2.5E7,1.52E7,DEFAULT,1,9800000.0,6,1,1,4.8E7,1.65E7,2.85E7,9800000.0,2.8814285714285713E7,1.7085714285714287E7,2.362962962962963E7,1.3751851851851853E7,1.85E7,1.15E7,2.025E8,1.212E8,8.28E8,4.963E8
2024-01-28,1.85E7,1.15E7,DEFAULT,1,7000000.0,0,1,1,2.5E7,1.12E7,1.52E7,7200000.0,2.985714285714286E7,1.77E7,2.344642857142857E7,1.367142857142857E7,3.2E7,1.95E7,1.96E8,1.172E8,8.42E8,5.038E8
2024-01-29,3.2E7,1.95E7,DEFAULT,1,1.25E7,1,1,1,1.85E7,2.25E7,1.15E7,1.32E7,3.1214285714285713E7,1.86E7,2.3741379310344826E7,1.3872413793103449E7,3.5E7,2.1E7,1.885E8,1.119E8,8.55E8,5.113E8
2024-01-30,3.5E7,2.1E7,DEFAULT,1,1.4E7,2,1,1,3.2E7,2.5E7,1.95E7,1.45E7,3.264285714285714E7,1.952857142857143E7,2.4116666666666668E7,1.411E7,3.8E7,2.3E7,1.805E8,1.067E8,8.58E8,5.133E8
2024-01-31,3.8E7,2.3E7,DEFAULT,1,1.5E7,3,1,1,3.5E7,2.8E7,2.1E7,1.6E7,3.4071428571428575E7,2.052857142857143E7,2.4883333333333332E7,1.4593333333333334E7,2.85E7,1.65E7,1.68E8,9.82E7,8.55E8,5.113E8
2024-02-01,2.85E7,1.65E7,DEFAULT,1,1.2E7,4,2,1,3.8E7,4.2E7,2.3E7,2.5E7,3.214285714285714E7,1.9314285714285713E7,2.51E7,1.4743333333333334E7,3.2E7,1.85E7,1.685E8,9.87E7,8.485E8,5.083E8
2024-02-02,3.2E7,1.85E7,DEFAULT,1,1.35E7,5,2,1,2.85E7,4.8E7,1.65E7,2.85E7,2.985714285714286E7,1.7885714285714287E7,2.555E7,1.5033333333333334E7,1.85E7,1.12E7,1.705E8,1.007E8,8.32E8,4.996E8
2024-02-03,1.85E7,1.12E7,DEFAULT,1,7300000.0,6,2,1,3.2E7,2.5E7,1.85E7,1.52E7,2.892857142857143E7,1.7314285714285713E7,2.5333333333333332E7,1.4923333333333334E7,1.2E7,7500000.0,1.715E8,1.015E8,8.415E8,5.049E8
2024-02-04,1.2E7,7500000.0,DEFAULT,1,4500000.0,0,2,1,1.85E7,1.85E7,1.12E7,1.15E7,2.8E7,1.6742857142857144E7,2.4783333333333332E7,1.4633333333333334E7,2.45E7,1.42E7,1.73E8,1.025E8,8.605E8,5.156E8
2024-02-05,2.45E7,1.42E7,DEFAULT,1,1.03E7,1,2,1,1.2E7,3.2E7,7500000.0,1.95E7,2.692857142857143E7,1.5985714285714285E7,2.5183333333333332E7,1.4846666666666666E7,2.7E7,1.58E7,1.745E8,1.038E8,8.655E8,5.184E8
2024-02-06,2.7E7,1.58E7,DEFAULT,1,1.12E7,2,2,1,2.45E7,3.5E7,1.42E7,2.1E7,2.5785714285714287E7,1.5242857142857144E7,2.58E7,1.52E7,2.55E7,1.45E7,1.76E8,1.048E8,8.715E8,5.221E8
2024-02-07,2.55E7,1.45E7,DEFAULT,1,1.1E7,3,2,1,2.7E7,3.8E7,1.58E7,2.3E7,2.4E7,1.402857142857143E7,2.6E7,1.531E7,2.9E7,1.7E7,2.055E8,1.253E8,8.83E8,5.296E8
2024-02-08,2.9E7,1.7E7,DEFAULT,1,1.2E7,4,2,1,2.55E7,2.85E7,1.45E7,1.65E7,2.407142857142857E7,1.41E7,2.6166666666666668E7,1.5426666666666666E7,3.4E7,2.05E7,2.185E8,1.338E8,8.755E8,5.256E8
2024-02-09,3.4E7,2.05E7,DEFAULT,1,1.35E7,5,2,1,2.9E7,3.2E7,1.7E7,1.85E7,2.435714285714286E7,1.4385714285714285E7,2.6416666666666668E7,1.5583333333333334E7,1.95E7,1.2E7,2.195E8,1.343E8,8.563E8,5.143E8
2024-02-10,1.95E7,1.2E7,DEFAULT,1,7500000.0,6,2,1,3.4E7,1.85E7,2.05E7,1.12E7,2.45E7,1.45E7,2.63E7,1.5566666666666666E7,1.35E7,8500000.0,2.22E8,1.358E8,8.658E8,5.193E8
2024-02-11,1.35E7,8500000.0,DEFAULT,1,5000000.0,0,2,1,1.95E7,1.2E7,1.2E7,7500000.0,2.4714285714285713E7,1.4642857142857144E7,2.5833333333333332E7,1.5356666666666666E7,2.6E7,1.55E7,2.235E8,1.368E8,8.843E8,5.293E8
2024-02-12,2.6E7,1.55E7,DEFAULT,1,1.05E7,1,2,1,1.35E7,2.45E7,8500000.0,1.42E7,2.492857142857143E7,1.482857142857143E7,2.6216666666666668E7,1.559E7,2.85E7,1.68E7,2.25E8,1.373E8,8.888E8,5.316E8
2024-02-13,2.85E7,1.68E7,DEFAULT,1,1.17E7,2,2,1,2.6E7,2.7E7,1.55E7,1.58E7,2.514285714285714E7,1.497142857142857E7,2.684E7,1.5943333333333334E7,5.5E7,3.5E7,2.265E8,1.38E8,8.953E8,5.353E8
2024-02-14,5.5E7,3.5E7,DEFAULT,1,2.0E7,3,2,1,2.85E7,2.55E7,1.68E7,1.45E7,2.935714285714286E7,1.79E7,2.7506666666666668E7,1.6376666666666666E7,4.2E7,2.55E7,1.995E8,1.192E8,8.883E8,5.293E8
2024-02-15,4.2E7,2.55E7,DEFAULT,1,1.65E7,4,2,1,5.5E7,2.9E7,3.5E7,1.7E7,3.1214285714285713E7,1.9114285714285713E7,2.7956666666666668E7,1.6676666666666666E7,3.5E7,2.1E7,1.895E8,1.125E8,8.713E8,5.193E8
2024-02-16,3.5E7,2.1E7,DEFAULT,1,1.4E7,5,2,1,4.2E7,3.4E7,2.55E7,2.05E7,3.135714285714286E7,1.9185714285714287E7,2.829E7,1.6903333333333332E7,2.2E7,1.35E7,1.905E8,1.13E8,8.538E8,5.093E8
2024-02-17,2.2E7,1.35E7,DEFAULT,1,8500000.0,6,2,1,3.5E7,1.95E7,2.1E7,1.2E7,3.1714285714285713E7,1.94E7,2.8123333333333332E7,1.6836666666666668E7,1.5E7,9500000.0,1.89E8,1.12E8,8.628E8,5.143E8
2024-02-18,1.5E7,9500000.0,DEFAULT,1,5500000.0,0,2,1,2.2E7,1.35E7,1.35E7,8500000.0,3.192857142857143E7,1.954285714285714E7,2.764E7,1.658E7,2.75E7,1.6E7,1.88E8,1.113E8,8.823E8,5.248E8
2024-02-19,2.75E7,1.6E7,DEFAULT,1,1.15E7,1,2,1,1.5E7,2.6E7,9500000.0,1.55E7,3.214285714285714E7,1.9614285714285713E7,2.8006666666666668E7,1.6786666666666668E7,3.0E7,1.75E7,1.895E8,1.123E8,8.868E8,5.276E8
2024-02-20,3.0E7,1.75E7,DEFAULT,1,1.25E7,2,2,1,2.75E7,2.85E7,1.6E7,1.68E7,3.235714285714286E7,1.9714285714285713E7,2.8633333333333332E7,1.713E7,2.8E7,1.62E7,1.92E8,1.138E8,8.933E8,5.316E8
2024-02-21,2.8E7,1.62E7,DEFAULT,1,1.18E7,3,2,1,3.0E7,5.5E7,1.75E7,3.5E7,2.85E7,1.702857142857143E7,2.8816666666666668E7,1.723E7,3.2E7,1.88E7,2.09E8,1.246E8,9.063E8,5.399E8
2024-02-22,3.2E7,1.88E7,DEFAULT,1,1.32E7,4,2,1,2.8E7,4.2E7,1.62E7,2.55E7,2.707142857142857E7,1.607142857142857E7,2.905E7,1.7373333333333332E7,3.6E7,2.15E7,2.15E8,1.288E8,8.983E8,5.356E8
2024-02-23,3.6E7,2.15E7,DEFAULT,1,1.45E7,5,2,1,3.2E7,3.5E7,1.88E7,2.1E7,2.7214285714285713E7,1.6142857142857144E7,2.9316666666666668E7,1.7556666666666668E7,2.05E7,1.25E7,2.14E8,1.283E8,8.788E8,5.243E8
2024-02-24,2.05E7,1.25E7,DEFAULT,1,8000000.0,6,2,1,3.6E7,2.2E7,2.15E7,1.35E7,2.7E7,1.6E7,2.86E7,1.714E7,1.4E7,8800000.0,2.155E8,1.293E8,9.133E8,5.448E8
2024-02-25,1.4E7,8800000.0,DEFAULT,1,5200000.0,0,2,1,2.05E7,1.5E7,1.25E7,9500000.0,2.685714285714286E7,1.59E7,2.7466666666666668E7,1.6483333333333334E7,2.9E7,1.7E7,2.17E8,1.303E8,9.613E8,5.74E8
2024-02-26,2.9E7,1.7E7,DEFAULT,1,1.2E7,1,2,1,1.4E7,2.75E7,8800000.0,1.6E7,2.707142857142857E7,1.6042857142857144E7,2.76E7,1.6543333333333334E7,3.25E7,1.9E7,2.16E8,1.298E8,9.903E8,5.92E8
2024-02-27,3.25E7,1.9E7,DEFAULT,1,1.35E7,2,2,1,2.9E7,3.0E7,1.7E7,1.75E7,2.742857142857143E7,1.6257142857142856E7,2.8066666666666668E7,1.6793333333333332E7,4.5E7,2.7E7,2.145E8,1.29E8,1.0228E9,6.13E8
2024-02-28,4.5E7,2.7E7,DEFAULT,1,1.8E7,3,2,1,3.25E7,2.8E7,1.9E7,1.62E7,2.985714285714286E7,1.78E7,2.85E7,1.7043333333333332E7,3.8E7,2.3E7,1.99E8,1.19E8,1.0498E9,6.3E8
2024-02-29,3.8E7,2.3E7,DEFAULT,1,1.5E7,4,2,1,4.5E7,3.2E7,2.7E7,1.88E7,3.0714285714285713E7,1.84E7,2.86E7,1.711E7,3.5E7,2.1E7,1.94E8,1.155E8,1.0498E9,6.305E8
2024-03-01,3.5E7,2.1E7,DEFAULT,1,1.4E7,5,3,1,3.8E7,3.6E7,2.3E7,2.15E7,3.057142857142857E7,1.832857142857143E7,2.85E7,1.7043333333333332E7,2.2E7,1.35E7,1.96E8,1.165E8,1.0428E9,6.27E8
2024-03-02,2.2E7,1.35E7,DEFAULT,1,8500000.0,6,3,1,3.5E7,2.05E7,2.1E7,1.25E7,3.0785714285714287E7,1.847142857142857E7,2.8283333333333332E7,1.6943333333333332E7,1.55E7,9800000.0,1.955E8,1.16E8,1.0558E9,6.345E8
2024-03-03,1.55E7,9800000.0,DEFAULT,1,5700000.0,0,3,1,2.2E7,1.4E7,1.35E7,8800000.0,3.1E7,1.8614285714285713E7,2.7733333333333332E7,1.6653333333333334E7,2.8E7,1.65E7,1.948E8,1.154E8,1.0788E9,6.472E8
2024-03-04,2.8E7,1.65E7,DEFAULT,1,1.15E7,1,3,1,1.55E7,2.9E7,9800000.0,1.7E7,3.085714285714286E7,1.854285714285714E7,2.805E7,1.683E7,3.1E7,1.82E7,1.958E8,1.159E8,1.0868E9,6.517E8
2024-03-05,3.1E7,1.82E7,DEFAULT,1,1.28E7,2,3,1,2.8E7,3.25E7,1.65E7,1.9E7,3.064285714285714E7,1.842857142857143E7,2.8683333333333332E7,1.7186666666666668E7,2.95E7,1.7E7,1.968E8,1.162E8,1.0958E9,6.575E8
2024-03-06,2.95E7,1.7E7,DEFAULT,1,1.25E7,3,3,1,3.1E7,4.5E7,1.82E7,2.7E7,2.842857142857143E7,1.7E7,2.885E7,1.728E7,3.3E7,1.95E7,1.978E8,1.17E8,1.1113E9,6.68E8
2024-03-07,3.3E7,1.95E7,DEFAULT,1,1.35E7,4,3,1,2.95E7,3.8E7,1.7E7,2.3E7,2.7714285714285713E7,1.65E7,2.905E7,1.7403333333333332E7,3.7E7,2.2E7,1.998E8,1.18E8,1.1048E9,6.645E8
2024-03-08,3.7E7,2.2E7,DEFAULT,1,1.5E7,5,3,1,3.3E7,3.5E7,1.95E7,2.1E7,2.8E7,1.6642857142857144E7,2.9433333333333332E7,1.7653333333333332E7,2.15E7,1.3E7,2.108E8,1.25E8,1.0863E9,6.54E8
2024-03-09,2.15E7,1.3E7,DEFAULT,1,8500000.0,6,3,1,3.7E7,2.2E7,2.2E7,1.35E7,2.792857142857143E7,1.657142857142857E7,2.9183333333333332E7,1.752E7,1.48E7,9200000.0,2.143E8,1.275E8,1.0978E9,6.605E8
2024-03-10,1.48E7,9200000.0,DEFAULT,1,5600000.0,0,3,1,2.15E7,1.55E7,1.3E7,9800000.0,2.782857142857143E7,1.6485714285714285E7,2.8543333333333332E7,1.7143333333333332E7,2.9E7,1.7E7,2.17E8,1.293E8,1.1195E9,6.728E8
2024-03-11,2.9E7,1.7E7,DEFAULT,1,1.2E7,1,3,1,1.48E7,2.8E7,9200000.0,1.65E7,2.797142857142857E7,1.6557142857142856E7,2.886E7,1.731E7,3.2E7,1.85E7,2.19E8,1.308E8,1.1245E9,6.758E8
2024-03-12,3.2E7,1.85E7,DEFAULT,1,1.35E7,2,3,1,2.9E7,3.1E7,1.7E7,1.82E7,2.8114285714285713E7,1.66E7,2.9476666666666668E7,1.7643333333333332E7,3.05E7,1.78E7,2.215E8,1.323E8,1.1305E9,6.798E8
2024-03-13,3.05E7,1.78E7,DEFAULT,1,1.27E7,3,3,1,3.2E7,2.95E7,1.85E7,1.7E7,2.825714285714286E7,1.6714285714285715E7,2.9626666666666668E7,1.772E7,3.5E7,2.05E7,2.23E8,1.333E8,1.142E9,6.87E8
2024-03-14,3.5E7,2.05E7,DEFAULT,1,1.45E7,4,3,1,3.05E7,3.3E7,1.78E7,1.95E7,2.854285714285714E7,1.685714285714286E7,2.9843333333333332E7,1.7843333333333332E7,4.8E7,2.9E7,2.245E8,1.343E8,1.1315E9,6.815E8
2024-03-15,4.8E7,2.9E7,DEFAULT,1,1.9E7,5,3,1,3.5E7,3.7E7,2.05E7,2.2E7,3.0114285714285713E7,1.785714285714286E7,2.961E7,1.7643333333333332E7,2.5E7,1.55E7,2.175E8,1.298E8,1.1005E9,6.63E8
2024-03-16,2.5E7,1.55E7,DEFAULT,1,9500000.0,6,3,1,4.8E7,2.15E7,2.9E7,1.3E7,3.0614285714285713E7,1.8214285714285713E7,2.9043333333333332E7,1.731E7,1.75E7,1.1E7,2.165E8,1.288E8,1.1235E9,6.765E8
2024-03-17,1.75E7,1.1E7,DEFAULT,1,6500000.0,0,3,1,2.5E7,1.48E7,1.55E7,9200000.0,3.1E7,1.847142857142857E7,2.846E7,1.6976666666666668E7,3.1E7,1.85E7,2.155E8,1.28E8,1.1485E9,6.91E8
2024-03-18,3.1E7,1.85E7,DEFAULT,1,1.25E7,1,3,1,1.75E7,2.9E7,1.1E7,1.7E7,3.1285714285714287E7,1.8685714285714287E7,2.876E7,1.7143333333333332E7,3.45E7,2.0E7,2.395E8,1.425E8,1.1565E9,6.955E8
2024-03-19,3.45E7,2.0E7,DEFAULT,1,1.45E7,2,3,1,3.1E7,3.2E7,1.85E7,1.85E7,3.164285714285714E7,1.89E7,2.941E7,1.7493333333333332E7,3.2E7,1.88E7,2.67E8,1.605E8,1.1655E9,7.015E8
2024-03-20,3.2E7,1.88E7,DEFAULT,1,1.32E7,3,3,1,3.45E7,3.05E7,2.0E7,1.78E7,3.185714285714286E7,1.904285714285714E7,2.956E7,1.7586666666666668E7,3.65E7,2.15E7,2.93E8,1.767E8,1.1815E9,7.112E8
2024-03-21,3.65E7,2.15E7,DEFAULT,1,1.5E7,4,3,1,3.2E7,3.5E7,1.88E7,2.05E7,3.207142857142857E7,1.9185714285714287E7,2.9776666666666668E7,1.772E7,4.1E7,2.45E7,3.215E8,1.952E8,1.173E9,7.067E8
2024-03-22,4.1E7,2.45E7,DEFAULT,1,1.65E7,5,3,1,3.65E7,4.8E7,2.15E7,2.9E7,3.107142857142857E7,1.854285714285714E7,3.021E7,1.7996666666666668E7,2.4E7,1.45E7,3.525E8,2.147E8,1.1515E9,6.942E8
2024-03-23,2.4E7,1.45E7,DEFAULT,1,9500000.0,6,3,1,4.1E7,2.5E7,2.45E7,1.55E7,3.092857142857143E7,1.84E7,2.9943333333333332E7,1.7853333333333332E7,1.65E7,1.02E7,3.665E8,2.237E8,1.1635E9,7.012E8
2024-03-24,1.65E7,1.02E7,DEFAULT,1,6300000.0,0,3,1,2.4E7,1.75E7,1.45E7,1.1E7,3.0785714285714287E7,1.8285714285714287E7,2.9293333333333332E7,1.7476666666666668E7,5.5E7,3.3E7,3.78E8,2.31E8,1.187E9,7.15E8
2024-03-25,5.5E7,3.3E7,DEFAULT,1,2.2E7,1,3,1,1.65E7,3.1E7,1.02E7,1.85E7,3.421428571428572E7,2.035714285714286E7,3.0443333333333332E7,1.816E7,6.2E7,3.8E7,3.58E8,2.19E8,1.187E9,7.15E8
2024-03-26,6.2E7,3.8E7,DEFAULT,1,2.4E7,2,3,1,5.5E7,3.45E7,3.3E7,2.0E7,3.814285714285714E7,2.292857142857143E7,3.2043333333333332E7,1.9133333333333332E7,5.8E7,3.5E7,3.345E8,2.035E8,1.193E9,7.18E8
2024-03-27,5.8E7,3.5E7,DEFAULT,1,2.3E7,3,3,1,6.2E7,3.2E7,3.8E7,1.88E7,4.185714285714286E7,2.524285714285714E7,3.301E7,1.9733333333333332E7,6.5E7,4.0E7,3.125E8,1.895E8,1.21E9,7.28E8
2024-03-28,6.5E7,4.0E7,DEFAULT,1,2.5E7,4,3,1,5.8E7,3.65E7,3.5E7,2.15E7,4.5928571428571425E7,2.7885714285714287E7,3.4093333333333336E7,2.0433333333333332E7,7.2E7,4.4E7,2.875E8,1.735E8,1.187E9,7.135E8
2024-03-29,7.2E7,4.4E7,DEFAULT,1,2.8E7,5,3,1,6.5E7,4.1E7,4.0E7,2.45E7,5.035714285714286E7,3.067142857142857E7,3.4993333333333336E7,2.1E7,3.8E7,2.35E7,2.605E8,1.57E8,1.145E9,6.88E8
2024-03-30,3.8E7,2.35E7,DEFAULT,1,1.45E7,6,3,1,7.2E7,2.4E7,4.4E7,1.45E7,5.235714285714286E7,3.195714285714286E7,3.4993333333333336E7,2.1016666666666668E7,2.8E7,1.75E7,2.49E8,1.495E8,1.159E9,6.96E8
2024-03-31,2.8E7,1.75E7,DEFAULT,1,1.05E7,0,3,1,3.8E7,1.65E7,2.35E7,1.02E7,5.4E7,3.3E7,3.476E7,2.09E7,3.5E7,2.1E7,2.395E8,1.435E8,1.189E9,7.135E8
2024-04-01,3.5E7,2.1E7,DEFAULT,1,1.4E7,1,4,2,2.8E7,5.5E7,1.75E7,3.3E7,5.114285714285714E7,3.1285714285714287E7,3.5193333333333336E7,2.115E7,3.85E7,2.25E7,2.375E8,1.42E8,1.199E9,7.195E8
2024-04-02,3.85E7,2.25E7,DEFAULT,1,1.6E7,2,4,2,3.5E7,6.2E7,2.1E7,3.8E7,4.778571428571428E7,2.907142857142857E7,3.596E7,2.1573333333333332E7,3.6E7,2.1E7,2.355E8,1.41E8,1.2105E9,7.27E8
2024-04-03,3.6E7,2.1E7,DEFAULT,1,1.5E7,3,4,2,3.85E7,5.8E7,2.25E7,3.5E7,4.464285714285714E7,2.707142857142857E7,3.6226666666666664E7,2.1723333333333332E7,4.0E7,2.4E7,2.335E8,1.4E8,1.2215E9,7.34E8
2024-04-04,4.0E7,2.4E7,DEFAULT,1,1.6E7,4,4,2,3.6E7,6.5E7,2.1E7,4.0E7,4.1071428571428575E7,2.4785714285714287E7,3.6526666666666664E7,2.1916666666666668E7,4.5E7,2.75E7,2.315E8,1.385E8,1.2095E9,7.27E8
2024-04-05,4.5E7,2.75E7,DEFAULT,1,1.75E7,5,4,2,4.0E7,7.2E7,2.4E7,4.4E7,3.721428571428572E7,2.242857142857143E7,3.7043333333333336E7,2.2266666666666668E7,2.65E7,1.6E7,2.285E8,1.36E8,1.184E9,7.115E8
2024-04-06,2.65E7,1.6E7,DEFAULT,1,1.05E7,6,4,2,4.5E7,3.8E7,2.75E7,2.35E7,3.5571428571428575E7,2.135714285714286E7,3.6826666666666664E7,2.215E7,1.85E7,1.15E7,2.265E8,1.35E8,1.1955E9,7.185E8
2024-04-07,1.85E7,1.15E7,DEFAULT,1,7000000.0,0,4,2,2.65E7,2.8E7,1.6E7,1.75E7,3.421428571428572E7,2.05E7,3.621E7,2.18E7,3.3E7,1.95E7,2.25E8,1.34E8,1.219E9,7.32E8
2024-04-08,3.3E7,1.95E7,DEFAULT,1,1.35E7,1,4,2,1.85E7,3.5E7,1.15E7,2.1E7,3.3928571428571425E7,2.0285714285714287E7,3.6593333333333336E7,2.2016666666666668E7,3.65E7,2.15E7,2.4E8,1.435E8,1.2255E9,7.36E8
